mat;no;lpow;lspeed;dist;vol;thick;sken;shap;angle;Ra;Rq;Rt;Rz;Rmax
FeSi3;1;255;653;0,09;108;0,04;Stripe 10;Kvádr;90°;17,32;21,57;118,43;98,58;109,21
;2;255;633;0,09;112;0,04;Stripe 10;Kvádr;90°;22,22;30,75;225,74;140,44;225,74
;3;255;643;0,09;110;0,04;Stripe 10;Kvádr;90°;23,57;30,68;177,85;118,25;156,44
;4;245;643;0,09;106;0,04;Stripe 10;Kvádr;90°;21,34;27,96;195,14;133,53;165,96
;5;265;643;0,09;114;0,04;Stripe 10;Kvádr;90°;18,8;24,6;149,1;119,42;141,06
;6;255;644;0,09;110;0,04;Stripe 10;Kvádr;90°;18,73;23,64;138,33;105,93;138,334
;7;230;750;0,08;96;0,04;Stripe 10;Kvádr;90°;11,94;15,43;99,38;81,38;99,38
;8;270;760;0,08;111;0,04;Stripe 10;Kvádr;90°;11,23;14,35;97,13;75,21;92,46
;9;270;740;0,08;114;0,04;Stripe 10;Kvádr;90°;11,14;14,63;115,05;83,16;109,16
;10;270;750;0,08;113;0,04;Stripe 10;Kvádr;90°;12,15;16,16;114,3;89,71;100,02
;11;260;750;0,08;108;0,04;Stripe 10;Kvádr;90°;14,7;17,92;98,56;81,43;93,98
;12;280;750;0,08;117;0,04;Stripe 10;Kvádr;90°;10,53;13,38;92,91;77,22;84,535
;13;204;928;0,1;55;0,04;Stripe 10;Kvádr;90°;21,94;28,01;213,99;138,99;194,54
;14;224;928;0,1;60;0,04;Stripe 10;Kvádr;90°;15,95;20,43;133,18;111,61;128,14
;15;220;760;0,08;90;0,04;Stripe 10;Kvádr;90°;11,4;14,34;96,72;74,27;95,62
;16;220;740;0,08;93;0,04;Stripe 10;Kvádr;90°;12,06;15,07;99,84;80,56;94,6
;17;220;750;0,08;92;0,04;Stripe 10;Kvádr;90°;10,5;13,37;82,61;69,36;79,58
;18;210;750;0,08;88;0,04;Stripe 10;Kvádr;90°;14,29;18,45;115,59;87,77;109,39
;19;285;600;0,1;119;0,04;Stripe 10;Kvádr;90°;8,91;11,47;96,43;70,2;96,43
;20;275;600;0,1;115;0,04;Stripe 10;Kvádr;90°;10,16;12,9;85,24;67,38;79,7
;21;295;600;0,1;123;0,04;Stripe 10;Kvádr;90°;9,07;11,4;74,78;60,82;69,13
;22;214;938;0,1;57;0,04;Stripe 10;Kvádr;90°;15,01;19,3;120,25;98,15;120,17
;23;214;918;0,1;58;0,04;Stripe 10;Kvádr;90°;14,96;19,83;176,79;108,72;156,99
;24;214;928;0,1;58;0,04;Stripe 10;Kvádr;90°;15,48;19,57;130,43;103,71;118,04
;25;300;790;0,1;95;0,04;Stripe 10;Kvádr;90°;9,01;11,97;110,27;73,72;103,59
;26;300;800;0,1;94;0,04;Stripe 10;Kvádr;90°;9,85;13,62;115,88;81,63;109,93
;27;290;800;0,1;91;0,04;Stripe 10;Kvádr;90°;9,09;11,77;81,85;66,67;73,31
;28;310;800;0,1;97;0,04;Stripe 10;Kvádr;90°;9,43;12,46;92,59;67,12;79,78
;29;285;610;0,1;117;0,04;Stripe 10;Kvádr;90°;9,57;12,18;95,06;75,45;81,59
;30;285;590;0,1;121;0,04;Stripe 10;Kvádr;90°;6,95;9,03;68,15;50,89;61,99
;31;340;810;0,1;105;0,04;Stripe 10;Kvádr;90°;8,44;11,16;87,98;67,53;87,98
;32;340;790;0,1;108;0,04;Stripe 10;Kvádr;90°;8,17;10,46;74,01;59,87;65,93
;33;340;800;0,1;106;0,04;Stripe 10;Kvádr;90°;9,04;11,56;87,29;68,55;73,98
;34;330;800;0,1;103;0,04;Stripe 10;Kvádr;90°;8,9;11,81;98,9;71,76;88,51
;35;350;800;0,1;109;0,04;Stripe 10;Kvádr;90°;7,96;10,52;83,7;63,02;76,2
;36;300;810;0,1;93;0,04;Stripe 10;Kvádr;90°;8,99;12,85;127,56;76,25;120,68
